x,y,v
0,0,8379152.000000
0,1,8375807.000000
0,2,8373174.000000
0,3,8371526.500000
0,4,8370827.500000
0,5,8370980.000000
0,6,8371829.000000
0,7,8373278.500000
0,8,8375212.000000
0,9,8377486.000000
0,10,8379867.500000
0,11,8382213.500000
0,12,8384439.500000
0,13,8386432.000000
0,14,8387964.000000
0,15,8388939.000000
0,16,8389514.000000
0,17,8389891.000000
0,18,8390272.000000
0,19,8390919.000000
0,20,8392051.000000
0,21,8393975.000000
0,22,8396917.000000
0,23,8400742.000000
0,24,8405061.000000
0,25,8409414.000000
0,26,8413355.000000
0,27,8416501.000000
0,28,8418693.000000
0,29,8419975.000000
0,30,8420576.000000
0,31,8420777.000000
0,32,8420991.000000
0,33,8421530.000000
0,34,8422699.000000
0,35,8424704.000000
0,36,8427378.000000
0,37,8430352.000000
0,38,8433270.000000
0,39,8435961.000000
0,40,8438228.000000
0,41,8439771.000000
0,42,8440375.000000
0,43,8439931.000000
0,44,8438592.000000
0,45,8436581.000000
0,46,8434006.000000
0,47,8431015.000000
0,48,8427600.000000
0,49,8423606.000000
1,0,8380989.500000
1,1,8376667.500000
1,2,8372831.500000
1,3,8369858.000000
1,4,8367936.000000
1,5,8367055.500000
1,6,8367363.500000
1,7,8368822.000000
1,8,8371473.000000
1,9,8375157.000000
1,10,8379515.000000
1,11,8384327.500000
1,12,8389544.000000
1,13,8394994.000000
1,14,8400260.000000
1,15,8405081.000000
1,16,8409393.000000
1,17,8413354.000000
1,18,8417082.000000
1,19,8420645.000000
1,20,8424080.000000
1,21,8427616.000000
1,22,8431367.000000
1,23,8435275.000000
1,24,8438988.000000
1,25,8442156.000000
1,26,8444421.000000
1,27,8445662.000000
1,28,8445898.000000
1,29,8445361.000000
1,30,8444329.000000
1,31,8443177.000000
1,32,8442259.000000
1,33,8441794.000000
1,34,8442017.000000
1,35,8442993.000000
1,36,8444569.000000
1,37,8446354.000000
1,38,8447925.000000
1,39,8449107.000000
1,40,8449703.000000
1,41,8449485.000000
1,42,8448394.000000
1,43,8446327.000000
1,44,8443434.000000
1,45,8439890.000000
1,46,8435771.000000
1,47,8431174.000000
1,48,8426163.000000
1,49,8420620.000000
2,0,8382828.500000
2,1,8377978.500000
2,2,8373337.000000
2,3,8369480.000000
2,4,8366755.000000
2,5,8365376.500000
2,6,8365688.000000
2,7,8367896.500000
2,8,8372079.000000
2,9,8378097.000000
2,10,8385660.000000
2,11,8394506.000000
2,12,8404492.000000
2,13,8415245.000000
2,14,8426179.000000
2,15,8436783.000000
2,16,8446717.000000
2,17,8455918.000000
2,18,8464380.000000
2,19,8471911.000000
2,20,8478466.000000
2,21,8484041.000000
2,22,8488805.000000
2,23,8492634.000000
2,24,8495335.000000
2,25,8496701.000000
2,26,8496632.000000
2,27,8495179.000000
2,28,8492594.000000
2,29,8489311.000000
2,30,8485804.000000
2,31,8482401.000000
2,32,8479466.000000
2,33,8477164.000000
2,34,8475527.000000
2,35,8474523.000000
2,36,8474011.000000
2,37,8473672.000000
2,38,8473080.000000
2,39,8471988.000000
2,40,8470198.000000
2,41,8467624.000000
2,42,8464235.000000
2,43,8460076.000000
2,44,8455211.000000
2,45,8449742.000000
2,46,8443748.000000
2,47,8437188.000000
2,48,8430139.000000
2,49,8422675.000000
3,0,8384538.000000
3,1,8379644.000000
3,2,8374738.000000
3,3,8370599.000000
3,4,8367748.000000
3,5,8366649.500000
3,6,8367808.000000
3,7,8371675.000000
3,8,8378431.500000
3,9,8388138.500000
3,10,8400559.000000
3,11,8415412.000000
3,12,8432355.000000
3,13,8450647.000000
3,14,8469585.000000
3,15,8488295.000000
3,16,8506106.000000
3,17,8522613.000000
3,18,8537473.000000
3,19,8550316.000000
3,20,8560889.000000
3,21,8569125.000000
3,22,8575041.000000
3,23,8578657.000000
3,24,8579848.000000
3,25,8578670.000000
3,26,8575372.000000
3,27,8570226.000000
3,28,8563746.000000
3,29,8556567.000000
3,30,8549387.000000
3,31,8542586.000000
3,32,8536504.000000
3,33,8531153.000000
3,34,8526460.000000
3,35,8522312.000000
3,36,8518526.000000
3,37,8514886.000000
3,38,8511003.000000
3,39,8506618.000000
3,40,8501574.000000
3,41,8495863.000000
3,42,8489542.000000
3,43,8482676.000000
3,44,8475269.000000
3,45,8467387.000000
3,46,8459030.000000
3,47,8450083.000000
3,48,8440642.000000
3,49,8430817.000000
4,0,8386013.000000
4,1,8381629.500000
4,2,8377162.000000
4,3,8373453.000000
4,4,8371328.000000
4,5,8371441.500000
4,6,8374513.000000
4,7,8381198.000000
4,8,8391938.000000
4,9,8407056.000000
4,10,8426373.000000
4,11,8449491.000000
4,12,8475753.000000
4,13,8504204.000000
4,14,8533723.000000
4,15,8563130.000000
4,16,8591326.000000
4,17,8617398.000000
4,18,8640629.000000
4,19,8660283.000000
4,20,8675950.000000
4,21,8687413.000000
4,22,8694635.000000
4,23,8697708.000000
4,24,8696744.000000
4,25,8692122.000000
4,26,8684474.000000
4,27,8674495.000000
4,28,8662870.000000
4,29,8650471.000000
4,30,8638173.000000
4,31,8626572.000000
4,32,8615881.000000
4,33,8606027.000000
4,34,8596844.000000
4,35,8588092.000000
4,36,8579704.000000
4,37,8571439.000000
4,38,8562977.000000
4,39,8554152.000000
4,40,8544889.000000
4,41,8535192.000000
4,42,8525238.000000
4,43,8514977.000000
4,44,8504430.000000
4,45,8493552.000000
4,46,8482306.000000
4,47,8470533.000000
4,48,8458298.000000
4,49,8445784.000000
5,0,8387332.500000
5,1,8384065.000000
5,2,8380671.500000
5,3,8378204.000000
5,4,8377656.500000
5,5,8379976.000000
5,6,8386170.500000
5,7,8397116.000000
5,8,8413614.000000
5,9,8436112.000000
5,10,8464523.000000
5,11,8498296.000000
5,12,8536509.000000
5,13,8577811.000000
5,14,8620626.000000
5,15,8663350.000000
5,16,8704476.000000
5,17,8742484.000000
5,18,8776066.000000
5,19,8804061.000000
5,20,8825856.000000
5,21,8841011.000000
5,22,8849500.000000
5,23,8851495.000000
5,24,8847476.000000
5,25,8838279.000000
5,26,8825056.000000
5,27,8808913.000000
5,28,8790731.000000
5,29,8771622.000000
5,30,8752670.000000
5,31,8734647.000000
5,32,8717744.000000
5,33,8701840.000000
5,34,8686654.000000
5,35,8671951.000000
5,36,8657533.000000
5,37,8643246.000000
5,38,8628935.000000
5,39,8614543.000000
5,40,8600099.000000
5,41,8585624.000000
5,42,8571218.000000
5,43,8556924.000000
5,44,8542612.000000
5,45,8528209.000000
5,46,8513586.000000
5,47,8498576.000000
5,48,8483200.000000
5,49,8467723.000000
6,0,8388471.500000
6,1,8386786.000000
6,2,8385109.000000
6,3,8384619.000000
6,4,8386528.000000
6,5,8392050.000000
6,6,8402578.000000
6,7,8419308.000000
6,8,8443301.000000
6,9,8475210.000000
6,10,8514912.000000
6,11,8561694.000000
6,12,8614268.000000
6,13,8670848.000000
6,14,8729439.000000
6,15,8788034.000000
6,16,8844442.000000
6,17,8896439.000000
6,18,8942078.000000
6,19,8979724.000000
6,20,9008418.000000
6,21,9027582.000000
6,22,9037084.000000
6,23,9037332.000000
6,24,9029243.000000
6,25,9014292.000000
6,26,8994121.000000
6,27,8970333.000000
6,28,8944216.000000
6,29,8916976.000000
6,30,8889870.000000
6,31,8863888.000000
6,32,8839262.000000
6,33,8815842.000000
6,34,8793278.000000
6,35,8771343.000000
6,36,8749677.000000
6,37,8728292.000000
6,38,8707117.000000
6,39,8686195.000000
6,40,8665667.000000
6,41,8645657.000000
6,42,8626224.000000
6,43,8607318.000000
6,44,8588757.000000
6,45,8570345.000000
6,46,8551968.000000
6,47,8533416.000000
6,48,8514680.000000
6,49,8495982.000000
7,0,8389526.000000
7,1,8389784.000000
7,2,8390273.000000
7,3,8392334.000000
7,4,8397326.000000
7,5,8406924.000000
7,6,8422838.000000
7,7,8446653.000000
7,8,8479680.000000
7,9,8522549.000000
7,10,8575187.000000
7,11,8636590.000000
7,12,8705174.000000
7,13,8778785.000000
7,14,8855056.000000
7,15,8931384.000000
7,16,9004724.000000
7,17,9071957.000000
7,18,9130547.000000
7,19,9178480.000000
7,20,9214476.000000
7,21,9237814.000000
7,22,9248320.000000
7,23,9246461.000000
7,24,9233618.000000
7,25,9211931.000000
7,26,9183648.000000
7,27,9151010.000000
7,28,9115678.000000
7,29,9079171.000000
7,30,9042811.000000
7,31,9007670.000000
7,32,8974164.000000
7,33,8942153.000000
7,34,8911267.000000
7,35,8881126.000000
7,36,8851497.000000
7,37,8822308.000000
7,38,8793626.000000
7,39,8765562.000000
7,40,8738401.000000
7,41,8712337.000000
7,42,8687449.000000
7,43,8663563.000000
7,44,8640467.000000
7,45,8617887.000000
7,46,8595601.000000
7,47,8573355.000000
7,48,8551126.000000
7,49,8529116.000000
8,0,8390748.000000
8,1,8393033.000000
8,2,8395855.000000
8,3,8400726.000000
8,4,8409282.000000
8,5,8423570.000000
8,6,8445614.000000
8,7,8477333.000000
8,8,8520098.000000
8,9,8574622.000000
8,10,8640700.000000
8,11,8717228.000000
8,12,8802359.000000
8,13,8893670.000000
8,14,8988314.000000
8,15,9082801.000000
8,16,9173223.000000
8,17,9255872.000000
8,18,9327550.000000
8,19,9385781.000000
8,20,9429066.000000
8,21,9456536.000000
8,22,9467982.000000
8,23,9464049.000000
8,24,9446402.000000
8,25,9417637.000000
8,26,9380786.000000
8,27,9338648.000000
8,28,9293448.000000
8,29,9247050.000000
8,30,9200916.000000
8,31,9156145.000000
8,32,9113229.000000
8,33,9072141.000000
8,34,9032492.000000
8,35,8993867.000000
8,36,8956017.000000
8,37,8918851.000000
8,38,8882532.000000
8,39,8847268.000000
8,40,8813442.000000
8,41,8781266.000000
8,42,8750780.000000
8,43,8721881.000000
8,44,8694324.000000
8,45,8667696.000000
8,46,8641641.000000
8,47,8615834.000000
8,48,8590247.000000
8,49,8565138.000000
9,0,8392295.000000
9,1,8396364.000000
9,2,8401464.000000
9,3,8409176.000000
9,4,8421510.000000
9,5,8440657.000000
9,6,8469044.000000
9,7,8508707.000000
9,8,8561068.000000
9,9,8626807.000000
9,10,8705651.000000
9,11,8796456.000000
9,12,8897282.000000
9,13,9005456.000000
9,14,9117367.000000
9,15,9228724.000000
9,16,9334990.000000
9,17,9431968.000000
9,18,9515892.000000
9,19,9583860.000000
9,20,9633931.000000
9,21,9665132.000000
9,22,9677364.000000
9,23,9671464.000000
9,24,9649389.000000
9,25,9614027.000000
9,26,9568923.000000
9,27,9517580.000000
9,28,9462786.000000
9,29,9406772.000000
9,30,9351191.000000
9,31,9297128.000000
9,32,9245159.000000
9,33,9195333.000000
9,34,9147304.000000
9,35,9100537.000000
9,36,9054858.000000
9,37,9010182.000000
9,38,8966694.000000
9,39,8924785.000000
9,40,8884806.000000
9,41,8846960.000000
9,42,8811294.000000
9,43,8777780.000000
9,44,8746144.000000
9,45,8715887.000000
9,46,8686516.000000
9,47,8657635.000000
9,48,8629157.000000
9,49,8601402.000000
10,0,8394169.000000
10,1,8399732.000000
10,2,8406792.000000
10,3,8417165.000000
10,4,8433007.000000
10,5,8456714.000000
10,6,8490856.000000
10,7,8537646.000000
10,8,8598425.000000
10,9,8673819.000000
10,10,8763579.000000
10,11,8866543.000000
10,12,8980792.000000
10,13,9103185.000000
10,14,9229477.000000
10,15,9354854.000000
10,16,9474382.000000
10,17,9583362.000000
10,18,9677689.000000
